title,author,length,User-Agent
The In-Between,Hadley Vlahos R.N.,Length: 7 hrs and 19 mins,Scrapy/2.9.0 (+https://scrapy.org)
Apocrypha,Stephen De Young,Length: 8 hrs and 27 mins,Scrapy/2.9.0 (+https://scrapy.org)
Technology Specs Book,Ricardo Navarrete Mendez,Length: 2 hrs and 21 mins,Scrapy/2.9.0 (+https://scrapy.org)
Technology Book Trend,Lumumba Shabazz,Length: 1 hr and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
From the Grave,Kresley Cole,Length: 11 hrs and 54 mins,Scrapy/2.9.0 (+https://scrapy.org)
Offside Hearts,Nikki Lawson,Length: 13 hrs and 27 mins,Scrapy/2.9.0 (+https://scrapy.org)
Childrens Understanding and Absorb Quickly,Jaime Torres,Length: 49 mins,Scrapy/2.9.0 (+https://scrapy.org)
Rise of the Weakest Summoner: Volume IV,J. R. Saileri,Length: 14 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
Awaken Your Multidimensional Soul,"Lee Harris,Dianna Edwards",Length: 6 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
Is There a Narcissist in Your Life?,Amanda Clymont,Length: 3 hrs and 3 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dr. Perfect,Louise Bay,Length: 7 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
One and Only,Karla Sorensen,Length: 8 hrs and 53 mins,Scrapy/2.9.0 (+https://scrapy.org)
By a Silver Thread,Rachel Aaron,Length: 11 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
Heal Thyself for Health and Longevity,Queen Afua,Length: 8 hrs and 17 mins,Scrapy/2.9.0 (+https://scrapy.org)
Poltergeist Rider,Lily Harper Hart,Length: 6 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Olympian Affair,Jim Butcher,Length: 21 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
Little Lost Dolls,M.M. Chouinard,Length: 10 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Power of Trees,"Peter Wohlleben,Jane Billinghurst",Length: 7 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Wedding Day,Sue Watson,Length: 10 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
Counter Attack,Patricia Bradley,Length: 10 hrs and 43 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Books of Ezekiel and Daniel: Visions of Glory,Simmons Brian,Length: 5 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
Creed,Kris Michaels,Length: 10 hrs and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
Primeiro Milhão [First Million],Raiam Santos,Length: 2 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
Murder at the Beauty Pageant,Helena Dixon,Length: 7 hrs and 16 mins,Scrapy/2.9.0 (+https://scrapy.org)
System Collapse,Martha Wells,Length: 6 hrs and 45 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Russo-Ukrainian War,Serhii Plokhy,Length: 11 hrs,Scrapy/2.9.0 (+https://scrapy.org)
The Pope’s Exorcist,Sophia Institute Press,Length: 1 hr and 46 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dirty Crazy Bad,Siobhan Davis,Length: 15 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
False Start,"Neve Wilder,Riley Hart",Length: 6 hrs and 49 mins,Scrapy/2.9.0 (+https://scrapy.org)
How to Do Magic That Works,Genevieve Davis,Length: 2 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
Until I Get You,Claire Contreras,Length: 15 hrs and 12 mins,Scrapy/2.9.0 (+https://scrapy.org)
The 16 Undeniable Laws of Communication,John Maxwell,Length: 8 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Accidental Contract,Kos Play,Length: 16 hrs and 18 mins,Scrapy/2.9.0 (+https://scrapy.org)
Barred Desires,Ashley James,Length: 6 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Poisoner's Ring,Kelley Armstrong,Length: 14 hrs and 52 mins,Scrapy/2.9.0 (+https://scrapy.org)
Those Bastards,Jared Dillian,Length: 10 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
Cherry Picked,May Archer,Length: 9 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
Azarinth Healer: Book Two,Rhaegar,Length: 19 hrs and 22 mins,Scrapy/2.9.0 (+https://scrapy.org)
Passive Prospecting,"Levi Lascsak,Travis Plumb",Length: 3 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
