title,author,length,User-Agent
Just a Regular Boy,Catherine Ryan Hyde,Length: 8 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Reboot,B. E. Baker,Length: 10 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
Dragonslayer,Craig Alanson,Length: 17 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
You Are the One You've Been Waiting For,Richard Schwartz PhD,Length: 6 hrs and 10 mins,Scrapy/2.9.0 (+https://scrapy.org)
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Good Enough Job,Simone Stolzoff,Length: 5 hrs and 33 mins,Scrapy/2.9.0 (+https://scrapy.org)
Dawn of Assassins: Book 1,Jon Cronshaw,Length: 14 hrs and 3 mins,Scrapy/2.9.0 (+https://scrapy.org)
I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,Length: 9 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
No Bad Kids,Janet Lansbury,Length: 3 hrs and 29 mins,Scrapy/2.9.0 (+https://scrapy.org)
Culturally Responsive Teaching and the Brain,Zaretta Hammond,Length: 7 hrs and 25 mins,Scrapy/2.9.0 (+https://scrapy.org)
How to Lead When You're Not in Charge,Clay Scroggins,Length: 6 hrs and 19 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Bodyguard Affair,"Anna Stone,Hildred Billings",Length: 6 hrs and 49 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
As a Man Thinketh,James Allen,Length: 55 mins,Scrapy/2.9.0 (+https://scrapy.org)
World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins,Scrapy/2.9.0 (+https://scrapy.org)
We Hunt Monsters 5,Aaron Oster,Length: 14 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Chemist,Stephenie Meyer,Length: 17 hrs and 1 min,Scrapy/2.9.0 (+https://scrapy.org)
How to Make It in the New Music Business (3rd Edition),Ari Herstand,Length: 19 hrs and 47 mins,Scrapy/2.9.0 (+https://scrapy.org)
What's Our Problem?,Tim Urban,Length: 13 hrs and 58 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Valley,D.J. Molles,Length: 14 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
Eight Ball,M.R. Forbes,Length: 7 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Magicians,Lev Grossman,Length: 17 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Oryx and Crake,Margaret Atwood,Length: 10 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Scottish Ladies' Detective Agency,Lydia Travers,Length: 9 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
Meg: A Novel of Deep Terror with Meg: Origins,Steve Alten,Length: 10 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
Principles,Ray Dalio,Length: 16 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ender's Game,Orson Scott Card,Length: 11 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Get Well Soon,Jennifer Wright,Length: 7 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Book Thief,Markus Zusak,Length: 13 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Millionaire Real Estate Agent,"Gary Keller,Dave Jenks,Jay Papasan",Length: 11 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Length: 11 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Life-Changing Magic of Tidying Up,Marie Kondo,Length: 4 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Goldfinch,Donna Tartt,Length: 32 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Fear and Loathing in Las Vegas,Hunter S. Thompson,Length: 6 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Murder on the Night Train to Paris,L.B. Hathaway,Length: 10 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Magicians,Lev Grossman,Length: 17 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Oryx and Crake,Margaret Atwood,Length: 10 hrs and 30 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Scottish Ladies' Detective Agency,Lydia Travers,Length: 9 hrs and 37 mins,Scrapy/2.9.0 (+https://scrapy.org)
Meg: A Novel of Deep Terror with Meg: Origins,Steve Alten,Length: 10 hrs and 32 mins,Scrapy/2.9.0 (+https://scrapy.org)
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
Principles,Ray Dalio,Length: 16 hrs and 5 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins,Scrapy/2.9.0 (+https://scrapy.org)
Ender's Game,Orson Scott Card,Length: 11 hrs and 57 mins,Scrapy/2.9.0 (+https://scrapy.org)
Get Well Soon,Jennifer Wright,Length: 7 hrs and 44 mins,Scrapy/2.9.0 (+https://scrapy.org)
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Book Thief,Markus Zusak,Length: 13 hrs and 56 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Millionaire Real Estate Agent,"Gary Keller,Dave Jenks,Jay Papasan",Length: 11 hrs and 4 mins,Scrapy/2.9.0 (+https://scrapy.org)
Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Length: 11 hrs and 40 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Life-Changing Magic of Tidying Up,Marie Kondo,Length: 4 hrs and 50 mins,Scrapy/2.9.0 (+https://scrapy.org)
The Goldfinch,Donna Tartt,Length: 32 hrs and 24 mins,Scrapy/2.9.0 (+https://scrapy.org)
Fear and Loathing in Las Vegas,Hunter S. Thompson,Length: 6 hrs,Scrapy/2.9.0 (+https://scrapy.org)
Murder on the Night Train to Paris,L.B. Hathaway,Length: 10 hrs and 41 mins,Scrapy/2.9.0 (+https://scrapy.org)
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins,Scrapy/2.9.0 (+https://scrapy.org)
